Ref,Val,Package,PosX,PosY,Rot,Side
R81,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,208.706200,-128.028800,270.000000,top
R82,3R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.669300,-46.470000,180.000000,top
R83,3R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.669300,-49.021200,0.000000,top
R84,3R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.679300,-65.113000,180.000000,top
R85,3R3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.412700,-101.612800,90.000000,top
U1,ADP150AUJZ-3.3,SOT-23-5,180.182000,-162.014000,180.000000,top
U2,ADP150AUJZ-3.3,SOT-23-5,180.182000,-153.378000,180.000000,top
U3,LM317_SOT223,SOT-223,78.000000,-57.400000,90.000000,top
U4,LM317_SOT223,SOT-223,212.751200,-112.390800,270.000000,top
U5,24LC64,SOIC-8_3.9x4.9mm_P1.27mm,197.250800,-158.610400,90.000000,top
VD1,D,D_SOD-123,156.927200,-25.450800,90.000000,top
VD2,D_Schottky,D_SMC_Handsoldering,206.600000,-81.497466,180.000000,top
VD3,D_Schottky,D_SMC_Handsoldering,178.700000,-37.400000,180.000000,top
VD4,D,D_SOD-123,212.452700,-121.043800,270.000000,top
VT1,BSS138,SOT-23,152.457200,-25.260000,90.000000,top
VT2,BSS138,SOT-23,149.194000,-162.200000,270.000000,top
VT3,BSS138,SOT-23,130.906000,-147.028000,90.000000,top
VT4,BSS138,SOT-23,150.750000,-138.130000,180.000000,top
VT5,BSS138,SOT-23,212.452700,-128.092300,0.000000,top
XS4,Conn_01x20,Hirose_FH12-20S-0.5SH_1x20-1MP_P0.50mm_Horizontal,148.940000,-123.152000,270.000000,top
